Iowa State: 39   Texas: 37
Duke: 31   Miami(FL): 30
Illinois: 23   Nebraska: 28
Utah State: 26   BYU: 17
Washington State: 33   USC: 30
Arkansas: 35   New Mexico State: 27
Florida: 20   Vanderbilt: 23
Georgia State: 17   Memphis: 38
Georgia Tech: 42   North Carolina: 32
Minnesota: 34   Maryland: 27
Pittsburgh: 31   Rice: 13
Temple: 6   Houston: 29
Wisconsin: 40   Northwestern: 16
East Carolina: 20   South Florida: 52
NC State: 34   Syracuse: 31
Boston College: 26   Central Michigan: 30
Army: 44   UTEP: 7
Kansas State: 42   Baylor: 22
Kent State: 5   Buffalo: 33
Louisville: 42   Murray State: 14
UMass: 16   Ohio: 39
Penn State: 40   Indiana: 21
Tulsa: 33   Navy: 45
Wake Forest: 29   Florida State: 6
Tennessee: 12   Georgia: 30
Kentucky: 18   Eastern Michigan: 14
Michigan State: 16   Iowa: 24
SMU: 52   Connecticut: 26
Stanford: 43   Arizona State: 33
Wyoming: 19   Texas State: 12
Notre Dame: 32   Miami(OH): 21
Bowling Green: 18   Akron: 30
Auburn: 19   Mississippi State: 24
Central Florida: 40   Maine: 18
Cincinnati: 23   Marshall: 23
Florida International: 24   Charlotte: 16
Florida Atlantic: 28   Middle Tennessee State: 18
LSU: 24   Troy: 15
Louisiana Tech: 33   South Alabama: 28
Louisiana Monroe: 37   Coastal Carolina: 30
New Mexico: 16   Air Force: 27
Southern Miss: 33   North Texas: 24
Central Florida: 70   Memphis: 44
Western Michigan: 33   Ball State: 34
Texas A&M: 26   South Carolina: 22
Rutgers: 17   Ohio State: 32
Virginia Tech: 23   Clemson: 20
Oregon State: 11   Washington: 64
Texas Tech: 37   Oklahoma State: 43
Alabama: 42   Ole Miss: 21
Fresno State: 36   Nevada: 17
Oregon: 41   California: 28
San Diego State: 22   Northern Illinois: 14
UCLA: 30   Colorado: 38
UNLV: 49   San Jose State: 26
Florida A&M: 31   NC Central: 26
Penn: 46   Dartmouth: 47
Texas Southern: 16   Alcorn State: 34
Dayton: 20   San Diego: 22
Princeton: 23   Columbia: 22
Butler: 27   Drake: 32
Davidson: 25   Marist: 48
Furman: 32   East Tennessee State: 30
Holy Cross: 43   Lafayette: 10
Cornell: 24   Colgate: 30
Campbell: 44   Morehead State: 24
Elon: 14   Albany: 26
Georgetown: 14   Harvard: 21
North Dakota State: 65   Missouri State: 4
Valparaiso: 34   Stetson: 28
Alabama A&M: 27   Arkansas Pine Bluff: 19
Samford: 24   The Citadel: 39
Delaware: 9   James Madison: 32
Montana State: 19   Weber State: 28
Bethune Cookman: 30   Savannah State: 13
Mercer: 53   Virginia Military: -1
Western Illinois: 32   South Dakota: 38
Idaho State: 32   Cal Poly: 27
Eastern Washington: 30   Sacramento State: 37
Portland State: 21   Montana: 42
Prairie View A&M: 35   Jackson State: 20
Sacred Heart: 47   Central Connecticut: 18
Bucknell: 22   Monmouth: 21
Charleston Southern: 32   Mississippi Valley State: 16
Chattanooga: 27   Western Carolina: 43
Fordham: 19   Yale: 64
Liberty: 26   Saint Francis: 30
New Hampshire: 41   Bryant: 22
South Carolina State: 10   North Carolina A&T: 40
Towson: 9   Villanova: 26
Wagner: 33   Lehigh: 41
William & Mary: 13   Stony Brook: 22
Austin Peay: 25   Tennessee Martin: 22
Brown: 23   Rhode Island: 27
Central Arkansas: 26   Sam Houston State: 37
Incarnate Word: 16   Abilene Christian: 40
Northern Arizona: 40   Northern Colorado: 39
Presbyterian: 19   Wofford: 33
Southeast Missouri State: 19   Eastern Kentucky: 23
Southern Illinois: 41   Northern Iowa: 23
Stephen F. Austin: 17   McNeese State: 41
Tennessee State: 21   Eastern Illinois: 13
Tennessee Tech: 8   Jacksonville State: 24
Youngstown State: 24   South Dakota State: 30
Illinois State: 44   Indiana State: 8
Northwestern State: 28   Southeastern Louisiana: 33
Lamar: 20   Nicholls State: 46
UC Davis: 28   North Dakota: 19
